FirstBorn,MiddleBorn,LastBorn
92,72,26
63,27,32
51,50,45
53,25,50
33,45,48
30,44,25
95,25,97
75,93,82
36,27,58
68,65,44
44,71,29
88,61,34
75,73,60
45,45,36
94,63,75
82,61,66
99,46,56
84,98,66
98,69,93
28,86,32
37,43,89
46,62,30
37,35,50
41,42,59
80,92,59
40,86,59
98,90,97
74,92,87
61,98,63
77,91,78
71,92,98
37,41,52
22,20,99
35,78,37
88,42,40
30,21,71
26,64,76
58,27,47
63,55,21
84,40,49
70,48,41
82,43,60
67,39,57
37,23,72
41,30,53
61,57,47
78,27,71
31,30,42
50,70,54
35,21,53
38,92,63
83,25,80
82,64,61
83,68,31
53,84,48
82,55,80
67,94,80
53,75,49
88,34,60
72,100,61
90,33,24
39,82,33
90,50,82
87,80,20
60,54,55
66,86,39
77,82,83
83,25,64
31,71,65
98,75,29
29,25,61
78,95,72
35,29,67
22,75,99
62,74,100
56,70,67
23,33,89
39,49,67
29,100,47
43,85,22
74,24,39
80,22,27
72,68,83
60,24,90
44,44,45
83,22,74
96,26,51
95,40,96
80,40,94
49,50,98
51,22,56
84,25,65
56,64,29
23,58,39
69,81,95
32,58,23
47,53,75
41,47,39
89,57,40
25,84,56
90,61,75
97,72,40
85,42,99
57,75,93
89,80,67
41,77,64
56,28,57
24,72,84
50,42,75
53,33,80
97,35,41
34,62,40
85,96,47
71,56,74
25,85,83
42,24,52
39,35,76
98,64,32
33,86,83
98,93,36
98,55,77
87,68,88
75,75,51
58,65,77
61,41,49
37,46,98
86,38,41
22,73,44
52,67,71
40,89,56
82,48,97
97,89,95
89,51,72
59,44,63
99,82,69
74,40,56
81,70,84
21,41,24
92,49,75
36,49,98
28,63,70
39,82,29
45,72,94
88,34,35
64,56,85
35,67,78
44,37,83
57,63,75
66,90,96
81,37,86
59,23,21
73,55,60
21,59,99
67,73,97
74,96,45
57,47,54
91,95,91
93,71,51
100,64,89
93,77,52
74,81,46
54,46,100
97,31,25
78,65,70
20,59,78
26,83,48
56,42,45
88,47,92
79,29,78
39,57,74
69,30,69
37,83,47
22,68,73
43,35,21
99,86,81
57,91,96
32,65,21
65,70,84
72,55,57
72,64,33
96,71,94
73,47,57
96,45,79
95,80,22
35,47,50
84,65,96
69,27,88
42,89,96
41,83,100
70,86,26
58,60,45
23,72,22
32,61,42
100,51,67
20,58,29
58,87,92
60,59,98
95,94,39
63,54,21
69,94,75
89,37,82
50,80,36
42,38,34
40,90,31
86,33,80
43,40,92
76,50,81
23,35,40
48,90,25
82,44,99
47,87,41
23,27,21
83,26,52
39,40,36
50,80,29
75,31,51
95,86,82
76,39,70
87,91,43
29,94,38
83,42,57
46,23,84
84,51,82
61,86,45
47,35,89
90,86,72
85,74,60
31,88,20
78,28,97
28,95,24
20,32,82
97,95,36
56,100,95
21,52,30
36,48,92
97,68,74
84,77,69
84,66,93
75,59,38
51,82,84
52,64,76
90,100,69
99,74,26
55,57,66
66,43,26
20,37,27
29,76,36
64,38,52
88,90,38
100,83,22
