Time,Product Preference
1,Product A
0,Product A
0,Product D
1,Product D
1,Product A
1,Product A
1,Product B
0,Product A
1,Product A
0,Product A
0,Product B
1,Product C
0,Product C
0,Product C
1,Product A
1,Product D
1,Product A
1,Product A
0,Product D
1,Product B
0,Product A
0,Product A
1,Product D
0,Product C
1,Product A
0,Product A
0,Product D
0,Product D
1,Product B
0,Product A
1,Product C
1,Product B
1,Product B
1,Product A
1,Product B
1,Product D
1,Product C
1,Product C
1,Product C
1,Product A
1,Product D
0,Product A
1,Product A
0,Product C
1,Product C
1,Product B
1,Product A
1,Product D
1,Product B
0,Product B
1,Product A
0,Product A
1,Product B
1,Product A
1,Product B
1,Product B
1,Product D
1,Product D
0,Product A
1,Product B
1,Product A
0,Product A
1,Product A
1,Product A
1,Product B
0,Product B
1,Product A
0,Product A
0,Product B
0,Product D
1,Product B
1,Product A
1,Product D
0,Product C
1,Product D
1,Product A
0,Product A
1,Product B
0,Product A
0,Product C
1,Product C
1,Product A
1,Product B
1,Product B
1,Product C
0,Product D
0,Product D
1,Product B
1,Product D
0,Product A
1,Product D
0,Product A
1,Product B
0,Product D
1,Product A
0,Product A
1,Product B
1,Product C
1,Product C
1,Product B
1,Product D
0,Product B
1,Product C
1,Product D
1,Product B
1,Product B
1,Product D
0,Product A
1,Product D
0,Product B
1,Product B
0,Product D
1,Product D
0,Product A
1,Product D
0,Product D
1,Product D
0,Product C
0,Product B
0,Product A
1,Product C
0,Product B
1,Product B
1,Product B
1,Product A
0,Product B
1,Product A
1,Product B
1,Product D
1,Product D
1,Product A
0,Product B
1,Product B
1,Product B
0,Product B
1,Product D
1,Product A
1,Product D
1,Product C
0,Product B
1,Product A
1,Product D
0,Product A
0,Product D
0,Product C
0,Product B
0,Product B
1,Product D
1,Product A
1,Product D
0,Product D
1,Product A
1,Product B
0,Product A
0,Product B
0,Product D
0,Product D
0,Product D
0,Product B
1,Product B
0,Product B
1,Product B
1,Product A
1,Product B
1,Product D
1,Product D
1,Product D
0,Product B
0,Product A
0,Product A
0,Product D
1,Product B
1,Product B
1,Product D
1,Product B
1,Product D
1,Product A
1,Product B
0,Product C
0,Product C
1,Product D
1,Product D
0,Product D
0,Product D
1,Product D
0,Product B
1,Product D
1,Product B
1,Product B
0,Product B
1,Product C
1,Product B
1,Product D
1,Product C
1,Product B
0,Product C
1,Product D
0,Product A
1,Product C
1,Product B
1,Product B
1,Product D
1,Product B
0,Product A
0,Product C
0,Product C
1,Product A
1,Product D
0,Product A
0,Product D
1,Product B
1,Product B
0,Product B
0,Product A
1,Product B
1,Product B
1,Product A
1,Product B
1,Product A
1,Product A
1,Product D
1,Product A
1,Product D
0,Product B
0,Product A
1,Product A
1,Product D
1,Product D
0,Product D
1,Product A
0,Product A
1,Product B
1,Product B
0,Product C
1,Product A
0,Product C
1,Product D
1,Product B
0,Product A
0,Product C
0,Product B
0,Product B
0,Product B
0,Product D
1,Product A
0,Product A
1,Product B
1,Product D
0,Product A
1,Product B
1,Product A
1,Product B
1,Product B
1,Product A
0,Product B
1,Product D
1,Product D
0,Product D
1,Product C
0,Product A
1,Product A
0,Product D
0,Product D
1,Product C
0,Product B
1,Product D
1,Product D
0,Product A
1,Product D
1,Product D
0,Product A
1,Product D
1,Product D
1,Product C
1,Product D
0,Product A
1,Product A
1,Product A
0,Product A
0,Product A
1,Product A
1,Product A
0,Product C
0,Product D
0,Product A
0,Product B
1,Product D
1,Product A
1,Product D
0,Product D
1,Product A
1,Product C
0,Product A
0,Product A
1,Product B
0,Product D
0,Product C
1,Product A
0,Product D
1,Product C
0,Product D
1,Product C
1,Product B
1,Product C
1,Product D
0,Product C
0,Product C
0,Product D
0,Product A
0,Product A
0,Product A
1,Product D
0,Product A
1,Product D
1,Product B
0,Product A
1,Product C
1,Product D
0,Product A
1,Product B
1,Product B
1,Product D
1,Product B
1,Product D
1,Product B
1,Product A
0,Product A
1,Product D
1,Product A
0,Product A
0,Product A
0,Product A
1,Product B
1,Product B
1,Product A
1,Product A
1,Product A
0,Product D
1,Product D
0,Product D
0,Product A
1,Product D
1,Product B
0,Product A
0,Product A
1,Product D
0,Product D
0,Product A
1,Product C
1,Product C
1,Product B
0,Product A
0,Product D
1,Product D
0,Product D
1,Product D
1,Product D
1,Product B
1,Product D
1,Product D
1,Product C
0,Product D
1,Product C
1,Product D
1,Product A
1,Product B
1,Product B
0,Product D
0,Product D
0,Product D
0,Product D
1,Product A
1,Product D
1,Product B
0,Product D
0,Product D
1,Product B
0,Product D
0,Product D
1,Product D
1,Product A
1,Product D
1,Product D
0,Product D
1,Product D
1,Product B
0,Product D
1,Product A
1,Product D
0,Product D
0,Product D
1,Product A
1,Product A
0,Product D
1,Product A
1,Product A
1,Product A
0,Product D
1,Product A
0,Product A
