Participant,Before ,After
1,6,5
2,5,3
3,7,1
4,5,5
5,5,5
6,7,2
7,7,3
8,5,5
9,7,5
10,7,3
11,7,2
12,6,3
13,5,1
14,4,1
15,6,3
16,7,4
17,5,5
18,6,3
19,5,2
20,4,1
21,6,5
22,7,2
23,6,3
24,5,5
25,7,5
26,6,3
27,6,4
28,6,2
29,5,2
30,5,1
31,7,1
32,5,3
33,5,2
34,6,5
35,4,2
36,5,4
37,4,3
38,7,2
39,5,5
40,5,1
41,4,2
42,7,3
43,7,3
44,4,3
45,7,5
46,7,4
47,7,3
48,7,4
49,7,4
50,4,2
51,7,4
52,6,4
53,7,5
54,5,2
55,4,4
56,7,3
57,7,4
58,5,3
59,4,4
60,4,5
61,7,5
62,4,5
63,4,1
64,6,5
65,4,5
66,4,3
67,7,3
68,4,4
69,5,5
70,5,1
71,7,2
72,4,1
73,4,1
74,4,4
75,7,2
76,5,5
77,7,1
78,6,5
79,4,3
80,5,2
81,7,3
82,4,2
83,6,4
84,5,5
85,6,2
86,7,4
87,5,5
88,5,5
89,5,5
90,5,2
91,4,2
92,4,3
93,7,4
94,5,4
95,5,2
96,5,5
97,7,5
98,6,3
99,7,1
100,5,1
101,5,3
102,4,4
103,7,1
104,4,3
105,7,5
106,6,1
107,6,1
108,5,5
109,7,1
110,5,5
111,4,1
112,7,4
113,7,5
114,4,2
115,5,5
116,6,1
117,4,4
118,7,4
119,7,3
120,6,2
121,5,2
122,4,5
123,6,2
124,6,2
125,6,4
126,5,5
127,4,1
128,7,5
129,5,1
130,5,5
131,6,3
132,5,1
133,6,3
134,6,3
135,4,1
136,6,4
137,4,5
138,4,4
139,6,4
140,4,1
141,6,2
142,7,3
143,7,3
144,4,3
145,7,1
146,6,4
147,5,5
148,7,3
149,4,2
150,4,3
151,7,4
152,4,5
153,5,3
154,6,1
155,7,2
156,7,3
157,5,2
158,6,5
159,7,3
160,7,2
161,5,4
162,7,5
163,4,1
164,7,2
165,4,3
166,7,4
167,6,2
168,7,3
169,5,3
170,5,2
171,5,4
172,5,4
173,7,3
174,4,2
175,4,5
176,7,4
177,6,2
178,5,1
179,5,5
180,6,2
181,5,1
182,7,4
183,4,4
184,5,1
185,4,5
186,4,2
187,7,1
188,4,4
189,6,1
190,6,4
191,6,2
192,5,4
193,7,5
194,7,2
195,4,3
196,4,4
197,6,3
198,5,1
199,4,4
200,4,2
201,4,1
202,5,1
203,4,5
204,6,3
205,7,2
206,7,2
207,4,5
208,4,4
209,5,3
210,4,1
211,7,2
212,4,1
213,6,2
214,4,3
215,5,3
216,6,5
217,4,1
218,4,2
219,4,3
220,7,1
221,4,3
222,5,1
223,4,5
224,6,4
225,5,3
226,5,3
227,7,2
228,4,1
229,5,4
230,5,5
231,6,5
232,4,1
233,7,1
234,7,4
235,6,2
236,6,5
237,5,4
238,4,2
239,4,3
240,7,5
241,6,3
242,6,4
243,4,1
244,5,5
245,4,2
246,5,5
247,4,4
248,6,2
249,6,2
250,4,4
