"Confirms
Stereotype","Challenges
Stereotype","No Message
 (Control)"
63,84,94
73,91,80
75,91,94
69,98,63
60,89,67
57,91,61
60,87,65
66,80,97
56,95,66
69,80,57
62,75,58
65,89,100
66,95,97
55,94,67
72,87,85
60,97,100
61,99,79
62,93,68
59,83,66
56,78,83
59,88,76
64,91,88
68,81,67
55,76,64
69,87,96
59,75,100
72,75,84
56,84,89
69,76,76
59,97,90
55,89,67
74,90,67
61,85,61
69,90,94
62,92,68
70,79,88
75,75,93
73,84,74
63,76,81
74,78,74
71,92,65
69,84,67
59,81,93
67,95,70
65,80,70
59,77,79
55,77,81
60,95,85
65,79,57
73,76,71
57,78,88
74,89,77
73,87,93
73,94,92
59,90,68
61,99,77
74,81,86
65,78,74
60,77,69
68,83,81
68,92,94
75,83,82
70,87,70
75,93,56
73,90,63
65,77,75
70,100,79
67,96,88
69,85,81
56,90,73
69,87,61
59,89,68
71,81,85
56,85,75
70,86,79
68,76,84
64,84,100
64,91,79
61,84,56
56,93,58
68,99,62
71,82,92
64,91,96
56,93,87
63,93,90
57,85,83
74,86,79
73,90,71
62,90,91
64,96,66
57,85,99
57,79,84
62,79,56
59,84,90
60,94,64
68,88,59
59,95,92
75,83,97
68,80,97
66,98,55
68,99,84
69,97,62
63,91,97
58,97,85
62,81,56
72,80,81
58,90,74
59,82,81
62,81,65
62,87,94
62,90,69
64,79,100
69,96,77
65,85,95
60,99,86
73,100,92
57,92,72
72,100,90
73,98,73
66,88,75
63,77,88
71,89,84
71,86,69
73,75,85
67,81,74
65,97,98
72,81,97
75,97,65
75,100,57
68,91,60
73,88,57
70,75,70
55,91,84
71,94,69
70,85,89
58,93,82
62,75,75
65,96,61
73,100,66
75,95,66
71,89,85
55,87,84
67,84,75
58,79,69
75,77,80
68,99,67
66,88,83
69,81,94
72,78,88
75,95,87
60,93,81
63,94,98
61,75,77
61,88,73
75,100,63
66,93,83
60,88,78
71,78,56
65,98,100
61,100,62
75,92,91
55,92,83
68,95,59
74,89,97
69,83,100
71,81,91
71,96,69
73,97,72
57,99,87
75,90,89
73,95,69
55,93,69
73,84,99
64,96,57
73,95,57
71,83,55
63,92,86
69,90,100
65,100,99
61,95,76
68,86,100
70,100,68
68,85,84
73,97,83
72,81,55
56,95,83
71,98,62
69,97,63
64,82,77
68,80,74
71,94,90
57,79,97
57,93,78
65,85,85
72,78,75
62,80,79
59,95,72
73,86,100
58,100,78
75,88,94
66,93,75
68,84,87
60,79,100
69,75,62
64,78,75
69,85,73
74,94,61
74,86,83
71,81,76
59,97,97
71,76,59
73,93,64
63,96,99
57,91,71
58,75,56
56,94,75
70,87,76
56,88,59
66,93,90
62,91,66
74,80,75
55,87,57
61,86,64
66,81,92
64,77,81
75,82,93
67,95,80
69,96,70
69,99,67
72,79,97
56,99,63
60,77,75
71,75,63
72,78,98
74,85,55
69,76,96
55,84,95
65,77,97
66,82,58
55,84,90
55,77,80
59,77,89
68,84,99
74,88,59
63,90,77
71,96,67
67,93,70
62,100,95
67,75,79
61,80,99
